Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000084,570,FALSE,Rx,0,5,C7,20,94,0,81,0,0,0
1000085,000005D0,FALSE,Rx,0,8,C0,4,61,8F,39,59,C0,0
1000086,000003D4,FALSE,Rx,0,8,81,81,0,0,8,0,0,0
1000087,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000088,284,FALSE,Rx,0,6,0,0,0,0,0,0,0,0
1000089,288,FALSE,Rx,0,8,36,BB,0,0,0,7B,A0,6
1000090,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000091,480,FALSE,Rx,0,8,19,20,96,8B,19,88,0,B5
1000092,488,FALSE,Rx,0,8,A0,11,0,7F,FE,0,0,30
1000093,0000048A,FALSE,Rx,0,8,2,0,0,2,0,0,0,0
1000094,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000095,676,FALSE,Rx,0,2,11,41,0,0,0,0,0,0
1000096,000000D0,FALSE,Rx,0,6,E0,0,0,30,0,D0,0,0
1000097,0000038A,FALSE,Rx,0,4,38,80,98,20,0,0,0,0
1000098,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000099,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000100,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000101,488,FALSE,Rx,0,8,F6,11,0,7F,FE,0,26,40
1000102,000000D0,FALSE,Rx,0,6,F0,10,0,30,0,D0,0,0
1000103,000003D0,FALSE,Rx,0,6,0,81,0,0,0,79,0,0
1000104,000002B7,FALSE,Rx,0,8,1,1,0,0,0,0,0,0
1000105,368,FALSE,Rx,0,8,F3,2,8,FE,7,FE,FE,0
1000106,320,FALSE,Rx,0,8,22,30,0,1,0,0D,0,89
1000107,000005C0,FALSE,Rx,0,8,3,0,0,A6,21,0,8,8C
1000108,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000109,284,FALSE,Rx,0,6,1,1,0,0,0,0,0,0
1000110,288,FALSE,Rx,0,8,36,BB,0,0,0,7B,A0,6
1000111,000000AE,FALSE,Rx,0,8,0,1,0,0,0,0,1,0
1000112,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000113,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,90
1000114,000003D4,FALSE,Rx,0,8,82,82,0,0,8,0,0,0
1000115,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,0,6D
1000116,480,FALSE,Rx,0,8,19,20,96,8B,19,88,0,B5
1000117,488,FALSE,Rx,0,8,3F,11,0,7F,FE,0,FF,50
1000118,0000048A,FALSE,Rx,0,8,12,0,0,2,0,0,0,10
1000119,000000D0,FALSE,Rx,0,6,C0,20,0,30,0,D0,0,0
1000120,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000121,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000122,0000056A,FALSE,Rx,0,8,EB,10,0C,FF,18,0,0,10
1000123,366,FALSE,Rx,0,8,51,1,0,0,0,0,80,D0
1000124,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000125,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000126,488,FALSE,Rx,0,8,0F,11,0,7F,FE,0,FF,60
1000127,497,FALSE,Rx,0,8,0,0,0,0,44,46,0,98
1000128,000000AE,FALSE,Rx,0,8,10,11,0,0,0,0,1,0
1000129,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,91
1000130,000001AC,FALSE,Rx,0,8,CE,0,10,0,69,25,0,92
1000131,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,10,7D
1000132,000003A0,FALSE,Rx,0,8,6A,F0,FD,F7,DF,7F,FF,CF
1000133,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000134,000004A8,FALSE,Rx,0,8,0,40,7,80,0,20,0,E7
1000135,000000D0,FALSE,Rx,0,6,D0,30,0,30,0,D0,0,0
1000136,000003D0,FALSE,Rx,0,6,0,81,0,0,0,79,0,0
1000137,0000038A,FALSE,Rx,0,4,8,80,A8,20,0,0,0,0
1000138,000005A0,FALSE,Rx,0,8,2B,1,0,0F,0,0,50,2B
1000139,723,FALSE,Rx,0,7,1,3,5,0,4,0,0,0
1000140,368,FALSE,Rx,0,8,F2,3,8,FE,7,FE,FE,0
1000141,320,FALSE,Rx,0,8,22,30,0,1,0,0E,0,89
1000142,000005C0,FALSE,Rx,0,8,4,0,0,A6,21,0,8,8B
1000143,676,FALSE,Rx,0,8,16,81,0E,0,3,0,0,0
