Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000082,000000D0,FALSE,Rx,0,6,F9,19,4,3C,28,F0,0,0
1000083,397,FALSE,Rx,0,8,8,8,0,0,0,0,0,0
1000084,000003D0,FALSE,Rx,0,6,0,0,8,0,C8,7E,0,0
1000085,440,FALSE,Rx,0,8,20,80,0,FE,7C,0,3C,0
1000086,280,FALSE,Rx,0,8,1,16,84,0C,16,0,16,16
1000087,284,FALSE,Rx,0,6,5,5,0,0,0,0,0,0
1000088,288,FALSE,Rx,0,8,4E,BB,38,0,0,50,A0,0A
1000089,000002B7,FALSE,Rx,0,8,16,6,0,0,0,0,10,0
1000090,380,FALSE,Rx,0,8,0,89,0,0,0,0,0,5
1000091,480,FALSE,Rx,0,8,70,0,27,EA,59,88,6,6A
1000092,488,FALSE,Rx,0,8,50,16,16,7E,FE,FF,FF,D0
1000093,0000048A,FALSE,Rx,0,8,59,0A,1,2,0,0,0,50
1000094,368,FALSE,Rx,0,8,D2,23,8,FE,7,FE,FE,0
1000095,588,FALSE,Rx,0,8,E9,70,7E,1,12,80,4,95
1000096,0000058C,FALSE,Rx,0,8,90,A0,24,0,0,0,0,0
1000097,000005A0,FALSE,Rx,0,8,7C,0,0,50,0,4B,1E,AB
1000098,000005C0,FALSE,Rx,0,8,8,0,0,A6,21,0,0,8F
1000099,000005B7,FALSE,Rx,0,8,0,D0,0,0,0,0,0,0
1000100,540,FALSE,Rx,0,8,70,0,FF,0,FF,0,12,EF
1000101,000003D4,FALSE,Rx,0,8,89,81,88,80,8,0,0,0
1000102,000000AE,FALSE,Rx,0,8,BB,B8,0,0,0,0,3,0
1000103,000001A0,FALSE,Rx,0,8,0,40,0,0,FE,FE,0,1B
1000104,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,B0,D4
1000105,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000106,0000038A,FALSE,Rx,0,4,C8,80,68,20,0,0,0,0
1000107,320,FALSE,Rx,0,8,20,20,0E,1,0,9,0,91
1000108,000000D0,FALSE,Rx,0,6,CA,2A,4,3C,28,F0,0,0
1000109,000000C2,FALSE,Rx,0,8,88,80,0,0,80,C0,4A,37
1000110,000003D2,FALSE,Rx,0,7,B4,6,33,80,1,0,0,0
1000111,440,FALSE,Rx,0,8,20,80,0,FE,7C,0,44,0
1000112,000005D6,FALSE,Rx,0,5,0,0,0,0,0,0,0,0
1000113,280,FALSE,Rx,0,8,1,16,84,0C,16,0,16,16
1000114,380,FALSE,Rx,0,8,0,89,0,0,0,0,0,5
1000115,488,FALSE,Rx,0,8,60,16,16,7E,FE,FF,FF,E0
1000116,722,FALSE,Rx,0,7,4,3,1,1,0,0,0,0
1000117,540,FALSE,Rx,0,8,80,0,FF,0,FF,0,12,26
1000118,000000D2,FALSE,Rx,0,5,3A,3E,0,0,4,0,0,0
1000119,0000044C,FALSE,Rx,0,8,5E,15,43,97,58,2,5,C0
1000120,50,FALSE,Rx,0,4,0,AD,88,25,0,0,0,0
1000121,000000AE,FALSE,Rx,0,8,CB,C8,0,0,0,0,3,0
1000122,000001A0,FALSE,Rx,0,8,0,40,0,0,FE,FE,0,1C
1000123,000001AC,FALSE,Rx,0,8,78,6,0,0,69,21,F7,C1
1000124,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,C0,A4
1000125,000003A0,FALSE,Rx,0,8,82,6,15,A9,FB,8E,42,0F
1000126,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000127,000004A8,FALSE,Rx,0,8,48,0,3,90,0,0,64,BF
1000128,000005A0,FALSE,Rx,0,8,7C,0,0,60,0,4B,1E,AB
1000129,000000D0,FALSE,Rx,0,6,DB,3B,4,3C,28,F0,0,0
1000130,000000C2,FALSE,Rx,0,8,88,80,0,0,80,D0,6F,27
1000131,000003D0,FALSE,Rx,0,6,0,0,8,0,C8,7E,0,0
1000132,440,FALSE,Rx,0,8,20,80,0,FE,7C,0,4C,0
1000133,000005C0,FALSE,Rx,0,8,9,0,0,A6,21,0,0,8E
1000134,280,FALSE,Rx,0,8,1,16,84,0C,16,0,16,16
1000135,284,FALSE,Rx,0,6,6,6,0,0,0,0,0,0
1000136,288,FALSE,Rx,0,8,4E,BB,38,0,0,50,A0,0A
1000137,380,FALSE,Rx,0,8,0,89,0,0,0,0,0,5
1000138,480,FALSE,Rx,0,8,70,0,27,EA,59,88,6,6A
1000139,488,FALSE,Rx,0,8,70,16,16,7E,FE,FF,FF,F0
1000140,0000048A,FALSE,Rx,0,8,69,0A,1,2,0,0,0,60
1000141,368,FALSE,Rx,0,8,D5,24,8,FE,7,FE,FE,0
1000142,588,FALSE,Rx,0,8,E9,70,7E,0,12,80,4,95
1000143,540,FALSE,Rx,0,8,90,0,FF,0,FF,0,12,26
1000144,000003D4,FALSE,Rx,0,8,8A,82,88,80,8,0,0,0
1000145,000000AE,FALSE,Rx,0,8,DB,D8,0,0,0,0,3,0
1000146,000001A0,FALSE,Rx,0,8,0,40,0,0,FE,FE,0,1D
1000147,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,D0,B4
1000148,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000149,320,FALSE,Rx,0,8,20,20,0E,1,0,0A,0,91
1000150,000000D0,FALSE,Rx,0,6,AC,4C,4,3C,28,F0,0,0
1000151,000000C2,FALSE,Rx,0,8,88,80,0,0,80,E0,0,17
1000152,440,FALSE,Rx,0,8,20,80,0,FE,7C,0,54,0
1000153,280,FALSE,Rx,0,8,1,16,84,0C,16,0,16,16
1000154,380,FALSE,Rx,0,8,0,89,0,0,0,0,0,5
1000155,488,FALSE,Rx,0,8,5C,16,16,7E,FE,FF,23,0
1000156,0000056A,FALSE,Rx,0,8,7A,2,8,48,18,0,0,20
1000157,366,FALSE,Rx,0,8,52,2,0,0,0,0,80,D0
