Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000085,000005C0,FALSE,Rx,0,8,2,0,0,A6,21,0,0,85
1000086,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000087,284,FALSE,Rx,0,6,8,8,0,0,0,0,0,0
1000088,288,FALSE,Rx,0,8,8A,BA,0,0,0,7B,12,6
1000089,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000090,390,FALSE,Rx,0,8,3,0,51,0,40,20,0,0
1000091,480,FALSE,Rx,0,8,84,20,96,8B,19,88,10,38
1000092,392,FALSE,Rx,0,8,88,40,1,0,0,0,0,0
1000093,488,FALSE,Rx,0,8,F6,11,0,7F,FE,0,26,40
1000094,0000048A,FALSE,Rx,0,8,82,0,0,2,0,0,0,80
1000095,570,FALSE,Rx,0,5,C7,20,0,0,81,0,0,0
1000096,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000097,000005D0,FALSE,Rx,0,8,C0,4,61,8F,39,59,C0,0
1000098,50,FALSE,Rx,0,4,0,5,28,2D,0,0,0,0
1000099,0000067A,FALSE,Rx,0,2,12,82,0,0,0,0,0,0
1000100,392,FALSE,Rx,0,8,88,40,1,1,0,0,0,0
1000101,000000D0,FALSE,Rx,0,6,F0,10,0,30,0,D0,0,0
1000102,000003D0,FALSE,Rx,0,6,0,81,0,0,0,79,0,0
1000103,000002B7,FALSE,Rx,0,8,1,1,0,0,0,0,0,0
1000104,368,FALSE,Rx,0,8,F3,2,8,FE,7,FE,FE,0
1000105,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000106,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000107,488,FALSE,Rx,0,8,3F,11,0,7F,FE,0,FF,50
1000108,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000109,000003D4,FALSE,Rx,0,8,82,82,0,0,8,0,0,0
1000110,000000AE,FALSE,Rx,0,8,0,1,0,0,0,0,1,0
1000111,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,90
1000112,000001AC,FALSE,Rx,0,8,CE,0,10,0,69,25,0,92
1000113,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,0,6D
1000114,320,FALSE,Rx,0,8,22,0,0,1,0,5,0,99
1000115,000003A0,FALSE,Rx,0,8,6A,F0,FD,F7,DF,7F,FF,CF
1000116,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000117,000000D0,FALSE,Rx,0,6,C0,20,0,30,0,D0,0,0
1000118,000004A8,FALSE,Rx,0,8,0,40,7,80,0,20,0,E7
1000119,000005A0,FALSE,Rx,0,8,2B,1,0,0F,0,0,50,2B
1000120,000005C0,FALSE,Rx,0,8,3,0,0,A6,21,0,8,8C
1000121,0000056A,FALSE,Rx,0,8,EB,10,0C,FF,18,0,0,10
1000122,366,FALSE,Rx,0,8,51,1,0,0,0,0,80,D0
1000123,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000124,284,FALSE,Rx,0,6,9,9,0,0,0,0,0,0
1000125,288,FALSE,Rx,0,8,8A,BA,0,0,0,7B,13,6
1000126,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000127,480,FALSE,Rx,0,8,84,20,96,8B,19,88,10,38
1000128,488,FALSE,Rx,0,8,0F,11,0,7F,FE,0,FF,60
1000129,0000048A,FALSE,Rx,0,8,92,0,0,2,0,0,0,90
1000130,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000131,497,FALSE,Rx,0,8,0,0,0,0,44,46,0,98
1000132,50,FALSE,Rx,0,4,0,5,38,3D,0,0,0,0
1000133,000000AE,FALSE,Rx,0,8,10,11,0,0,0,0,1,0
1000134,0000038A,FALSE,Rx,0,4,8,80,A8,20,0,0,0,0
1000135,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,91
1000136,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,10,7D
1000137,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000138,420,FALSE,Rx,0,8,9C,98,9E,0,18,36,FF,0
1000139,723,FALSE,Rx,0,7,1,3,5,0,4,0,0,0
1000140,000000D0,FALSE,Rx,0,6,D0,30,0,30,0,D0,0,0
1000141,000003D0,FALSE,Rx,0,6,0,81,0,0,0,79,0,0
1000142,368,FALSE,Rx,0,8,F2,3,8,FE,7,FE,FE,0
1000143,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000144,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000145,488,FALSE,Rx,0,8,1F,11,0,7F,FE,0,FF,70
1000146,000003D4,FALSE,Rx,0,8,83,83,0,0,8,0,0,0
1000147,000000AE,FALSE,Rx,0,8,20,21,0,0,0,0,1,0
1000148,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,92
1000149,000001AC,FALSE,Rx,0,8,CF,1,10,0,69,25,0,92
1000150,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,20,4D
1000151,000003A0,FALSE,Rx,0,8,CE,1,0,0,0,0,0,CF
1000152,320,FALSE,Rx,0,8,22,30,0,1,0,6,0,BD
1000153,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000154,000000D0,FALSE,Rx,0,6,A0,40,0,30,0,D0,0,0
1000155,000003D2,FALSE,Rx,0,7,72,40,33,0,1,0,0,0
1000156,000004A8,FALSE,Rx,0,8,0,40,3,80,0,20,10,F3
1000157,000005A0,FALSE,Rx,0,8,2B,1,0,1F,0,0,50,2B
1000158,676,FALSE,Rx,0,8,16,81,0,0,2D,E1,FF,FF
1000159,000005C0,FALSE,Rx,0,8,4,0,0,A6,21,0,8,8B
1000160,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000161,284,FALSE,Rx,0,6,0A,0A,0,0,0,0,0,0
1000162,288,FALSE,Rx,0,8,8A,BA,0,0,0,7B,14,6
1000163,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000164,480,FALSE,Rx,0,8,84,20,96,8B,19,88,10,38
1000165,488,FALSE,Rx,0,8,EF,11,0,7F,FE,0,FF,80
1000166,0000048A,FALSE,Rx,0,8,A2,0,0,2,0,0,0,A0
1000167,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000168,50,FALSE,Rx,0,4,0,5,48,4D,0,0,0,0
1000169,000000AE,FALSE,Rx,0,8,30,31,0,0,0,0,1,0
1000170,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,93
1000171,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,30,5D
1000172,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000173,000005D2,FALSE,Rx,0,8,2,43,30,31,32,30,38,31
1000174,000000D0,FALSE,Rx,0,6,A1,50,0,30,11,D0,0,0
1000175,000003D0,FALSE,Rx,0,6,0,81,0,0,0,79,0,0
1000176,676,FALSE,Rx,0,2,16,C1,0,0,0,0,0,0
1000177,368,FALSE,Rx,0,8,F5,4,8,FE,7,FE,FE,0
1000178,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000179,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000180,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000181,488,FALSE,Rx,0,8,EE,11,11,7F,FE,0,FF,90
1000182,000003B2,FALSE,Rx,0,8,0,80,7,0,0,0,0,0
1000183,397,FALSE,Rx,0,8,0C,4,8,0,0,0,0,0
1000184,000003D4,FALSE,Rx,0,8,84,84,0,0,8,0,0,0
